0	0	0
840	1.15	24.97
933	1.39	112.96
1027	2.81	124.71
1122	4.43	134.2
1215	7.09	142.65
1319	10.08	152.37
1405	12.36	156.61
1504	15.29	155.31
1602	18.24	152.23
1687	20.56	151.18
1793	23.86	152.92
1891	26.78	150.27
1970	28.51	149.56
2068	31.58	149.39
2162	34.39	150.47
2250	36.56	150.51
2342	38.94	148.48
2441	41.82	148.16
2536	44.21	147.43
2630	45.71	147.34
2724	45.83	147.7
2818	46.63	147.04
2913	47.16	146.44
3007	47.93	146.54
3101	47.83	146.65
3196	48.12	146.76
3290	48.32	146.61
3384	48.3	146.42
3478	48.43	146.35
3579	47.18	147.66
3667	47.14	148.05
3761	47.13	147.84
3855	47.36	147.75
3950	46.48	148.28
4044	46.56	148.38
4139	45.44	148.68
4233	45.31	148.91
4328	44.91	148.87
4422	45.08	148.95
4517	45.11	148.86
4611	45.14	149.05
4705	45.14	149.24
4800	45.16	149.16
4894	45.05	149.62
4988	45.1	149.31
5082	45.03	149.18
5176	44.75	148.32
5270	44.94	147.97
5365	44.78	147.29
5463	44.89	147.57
5557	44.57	147.22
5651	44.49	146.73
5746	43.9	147.19
5840	44.08	147.39
5934	45.38	147.22
6029	45.66	147.09
6123	47.37	147.88
6217	47.5	148.09
6311	47.32	148.54
6406	47.59	148.13
6500	48.13	148.32
6594	48.4	148.98
6689	48.66	148.98
6783	49.83	148.35
6875	49.46	149.11
6941	49.3	149.2
