0.00	0.00	0.00
50.00	0.02	335.90
100.00	0.13	301.24
150.00	0.12	298.38
200.00	0.11	288.26
250.00	0.18	303.29
300.00	0.23	330.45
355.00	0.32	326.68
457.32	0.11	110.98
547.85	0.03	164.16
638.99	0.13	5.97
730.75	0.16	271.91
821.30	0.12	28.01
888.77	0.13	17.28
980.39	0.91	64.20
1072.43	1.62	56.75
1163.77	2.81	63.77
1258.93	4.29	61.76
1353.09	5.56	60.81
1448.26	6.69	57.68
1542.80	7.57	59.35
1636.85	8.73	69.53
1730.89	9.92	71.60
1825.63	11.92	65.08
1920.89	13.99	60.31
2015.21	14.95	59.24
2110.11	16.06	58.26
2204.78	17.15	57.25
2299.30	18.24	54.86
2393.41	19.42	54.99
2488.00	21.16	54.61
2582.86	23.30	54.30
2676.76	23.74	55.86
2771.36	23.94	56.93
2865.68	23.47	57.75
2959.97	22.92	58.07
3054.36	22.82	58.45
3149.39	22.41	57.67
3243.43	22.43	57.01
3337.98	22.12	57.39
3432.29	21.90	58.19
3526.73	22.01	57.88
3621.52	21.80	56.79
3716.03	21.88	57.62
3810.84	22.03	56.31
3905.03	21.87	56.58
3999.87	21.86	57.40
4094.49	21.85	56.29
4188.79	21.85	55.88
4283.00	21.93	56.57
4377.34	22.44	56.03
4472.31	22.48	56.21
4566.40	22.41	56.98
4660.73	22.21	58.21
4755.33	22.15	58.17
4850.19	22.01	58.56
4944.40	20.06	59.30
5038.03	19.69	58.99
5132.53	18.24	57.17
5229.81	17.80	54.11
5324.00	16.30	54.82
5418.33	15.54	55.64
5513.47	13.91	57.08
5605.52	12.00	57.53
5699.54	9.72	56.76
5794.02	6.88	55.04
5888.57	4.93	56.08
5983.26	2.85	66.48
6077.69	1.04	75.67
6172.19	0.22	107.73
6266.94	0.13	192.41
6361.29	0.11	153.97
6414.07	0.10	2.66
6491.78	0.10	201.55
6586.77	0.17	294.40
6680.80	0.08	153.65
6775.74	0.11	8.16
6870.34	0.12	225.44
6965.30	0.11	12.89
7059.28	0.13	281.52
7154.02	0.15	313.66
7247.91	0.10	223.94
7342.38	0.10	211.67
7436.55	0.11	153.48
7530.95	0.10	77.07
7627.96	0.13	303.01
7720.24	0.10	149.81
7815.02	0.12	21.28
7909.10	0.12	357.66
8005.71	0.06	274.72
8098.27	0.15	74.96
8192.88	0.09	295.25
8287.98	0.09	236.95
8380.66	0.36	199.41
8475.61	0.90	227.53
8569.45	1.41	224.32
8664.16	0.46	243.19
8758.49	0.13	271.42
8852.99	0.10	61.71
8948.00	0.12	266.44
