0	0	0
818	0.16	66.35
849	0.17	66.35
936	1.59	121.07
1032	2.56	138.61
1125	4.47	146.78
1222	7.64	150.28
1319	10.52	145.62
1409	13.02	145.47
1501	15.53	145.87
1596	18.26	145.49
1692	21.06	144.6
1785	23.27	144.24
1880	24.86	143.21
1974	26.64	143.12
2068	29.1	143.71
2160	31.1	144.25
2258	33.42	145.53
2343	34.92	146.7
2442	36.9	147.42
2536.01	39.41	146.49
2633.01	41.53	144.96
2724.01	43.66	144.24
2820.01	45.2	144.35
2916.01	45.51	142.53
3010.01	46.09	143.12
3105.01	46.02	142.72
3201.01	45.73	142
3294.01	45.46	141.53
3389.01	45.65	141.36
3482.01	46.22	141.56
3577.01	46.12	141.55
3671.01	46.3	141.29
3765.01	45.82	142.64
3860.01	45.58	143.1
3953.01	45.62	142.91
4048.01	45.12	143.63
4141.01	45.1	144.66
4237.01	45.77	144.74
4331.01	46.39	144.25
4426.01	46.23	144.43
4520.01	46.04	144.74
4614.01	45.88	144.84
4709.01	44.95	145.09
4800.01	44.87	144.68
4894.01	44.86	143.88
4989.01	44.02	144.1
5084.01	43.6	142.81
5180.01	42.69	142.4
5275.01	42.15	142.67
5365.01	42.05	142.49
5463.01	42.21	142.61
5557.01	44.23	143.08
5651.01	45.27	143.23
5746.01	45.1	143.46
5843.01	45.44	143.95
5938.01	45.28	144.06
6032.01	44.98	144.82
6126.01	44.82	145.62
6220.01	46.28	145.83
6314.01	46.3	145.97
6408.01	45.96	145.86
6498.01	46.51	145.93
6597.01	47.98	145.82
6744.01	47.7	145.77
6838.01	48.41	145.24
6933.01	49.55	143.84
7027.01	50.83	143.7
7125.01	53.17	144.13
7220.01	54.99	144.66
7313.01	56.53	144.59
7405.01	58.07	144.42
7499.01	59.92	144.28
7592.02	60.7	144.41
7687.02	62.42	144.92
7783.02	64.3	145.74
7878.02	65.74	146.13
7973.02	66.71	145.68
8067.02	68.15	145.37
8159.02	68.93	145.36
8254.02	69.01	145.1
8348.02	68.96	145.37
8442.02	68.85	145.7
8513.02	68.93	145.22
8550.02	69.31	144.79
8637.02	68.56	144.49
8732.02	68.59	145.4
8826.02	68.7	144.56
8921.02	68.91	144.16
9016.02	69.68	143.9
9110	70.79	143.74
9204	71.59	145.32
9299	71.58	146.02
9395	73.58	146.49
9489	79.69	145.52
9584	84.75	146.1
9637	87	145.3
